Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Sampling place	Occupancy	Samplig date	Start	Stop	Filter extraction date	DNA isolation date	Elution volume	Qubit Volume	Conc. (ng/µl)	Total yield	Yield left	DNAngm3
SL310971	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station/busstop	Underground	Platform	5200	07/07 2017	14:35	15:05	21/09-17 - KOB	20/11-17 KOB	100	10	0.036	3.6	3.24	0.4
SL310972	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station/busstop	Underground	Platform	2625	07/07 2017	15:25	15:55	21/09-17 - KOB	20/11-17 KOB	100	10	0.0326	3.26	2.934	0.362222222
SL310973	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	Platform	7800	07/07 2017	16:10	16:40	09/10-17 - KOB	20/11-17 KOB	100	10	0.041	4.1	3.69	0.455555556
SL310974	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station/busstop	Aboveground	Platform	2400	07/07 2017	16:49	17:19	09/10-17 - KOB	20/11-17 KOB	100	10	0.0312	3.12	2.808	0.346666667
SL310975	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	Platform	4800	11/07 2017	9:30	10:00	09/10-17 - KOB	20/11-17 KOB	100	10	0.085	8.5	7.65	0.944444444
SL310976	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	Platform	2400	11/07 2017	10:10	10:40	09/10-17 - KOB	20/11-17 KOB	100	10	0.0452	4.52	4.068	0.502222222
SL310977	Hong Kong	Che Kung Temple	22.374751	114.185998	Ma On Shan Line	Station/busstop	Aboveground	Platform	900	11/07 2017	10:57	11:27	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0			
SL310978	Hong Kong	Sha Tin Wai	22.376943	114.194785	Ma On Shan Line	Station/busstop	Aboveground	Platform	1200	11/07 2017	11:33	12:03	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0136	1.36	1.224	0.151111111
SL310979	Hong Kong	Shek Kip Mei	22.331996	114.168759	Kwun Tong Line	Station/busstop	Underground	Platform	2000	11/07 2017	13:40	14:10	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0442	4.42	3.978	0.491111111
SL310980	Hong Kong	Prince Edward	22.325069	114.168319	Kwun Tong Line	Interchange	Underground	Platform	6400	11/07 2017	14:15	14:45	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0536	5.36	4.824	0.595555556
SL310981	Hong Kong	Sham Shui Po	22.331291	114.161786	Tsuen Wan Line	Station/busstop	Underground	Platform	2400	11/07 2017	14:57	15:27	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0418	4.18	3.762	0.464444444
SL310982	Hong Kong	Cheung Sha Wan	22.335807	114.156443	Tsuen Wan Line	Station/busstop	Underground	Platform	1200	11/07 2017	15:33	16:03	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0206	2.06	1.854	0.228888889
SL310983	Hong Kong	Lai King	22.348727	114.126144	Tung Chung Line	Interchange	Underground	Platform	3600	11/07 2017	16:26	16:56	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0284	2.84	2.556	0.315555556
SL310984	Hong Kong	Tsing Yi	22.359245	114.107165	Tung Chung Line	Interchange	Underground	Platform	4800	11/07 2017	17:02	17:32	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0112	1.12	1.008	0.124444444
SL310985	Hong Kong	Yau Tong	22.298656	114.236905	Tseung Kwan O Line	Station/busstop	Underground	Platform	5200	12/07 2017	9:40	10:10	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0246	2.46	2.214	0.273333333
SL310986	Hong Kong	Quarry Bay	22.288431	114.209697	Tseung Kwan O Line	Interchange	Underground	Platform	2400	12/07 2017	10:17	10:47	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.039	3.9	3.51	0.433333333
SL310987	Hong Kong	North Point	22.291449	114.200449	Island Line	Interchange	Underground	Platform	2400	12/07 2017	11:01	11:31	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0			
SL310988	Hong Kong	Fortress Hill	22.288471	114.193647	Island Line	Station/busstop	Underground	Platform	1200	12/07 2017	11:45	12:15	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0118	1.18	1.062	0.131111111
SL310989	Hong Kong	Ocean Park	22.249142	114.174605	South Island Line	Station/busstop	Aboveground	Platform	4000	12/07 2017	13:32	14:02	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.018	1.8	1.62	0.2
SL310990	Hong Kong	Admiralty	22.279733	114.164584	South Island Line	Interchange	Underground	Platform	6400	12/07 2017	14:09	14:39	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0412	4.12	3.708	0.457777778
SL310991	Hong Kong	Tsim Sha Tsui	22.29787	114.17217	Tsuen Wan Line	Station/busstop	Underground	Platform	4800	12/07 2017	14:47	15:17	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0388	3.88	3.492	0.431111111
SL310992	Hong Kong	East Tsim Sha Tsui	22.295269	114.174305	West Rail Line	Station/busstop	Underground	Platform	3750	12/07 2017	15:35	16:05	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.041	4.1	3.69	0.455555556
SL310993	Hong Kong	Hung Hom	22.303619	114.181483	West Rail Line	Interchange	Aboveground	Platform	9000	12/07 2017	16:14	16:44	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.015	1.5	1.35	0.166666667
SL310994	Hong Kong	Mong Kok East	22.322557	114.172471	East Rail Line	Station/busstop	Aboveground	Platform	1800	12/07 2017	16:55	17:25	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0754	7.54	6.786	0.837777778
SL310995	Hong Kong	Kowloon Tong	22.337199	114.175817	East Rail Line	Interchange	Aboveground	Platform	5400	13/07 2017	9:25	9:55	09/10-17 - KOB	21/11-17 KOB/IHT	100	10	0.0198	1.98	1.782	0.22
SL310996	Hong Kong	Tai Wai	22.373025	114.178509	East Rail Line	Interchange	Aboveground	Platform	2400	13/07 2017	10:05	10:35	17/10-17 - KOB	21/11-17 KOB/IHT	100	10	0			
