Sample	City	Location	Latitude	Longitude	Line	Interchange	Ground	Samplig_date	Temperature_Out	RH
SL335745	Denver	Boulder Junction	40.0258734	-105.2510194	different regional lines	Station	Underground	22_06_2017	24	55
SL335746	Denver	Boulder Junction	40.0258734	-105.2510194	different regional lines	Station	Underground	22_06_2017	24	55
SL342373	New York	Grand Central 42nd St.	40.751776	-73.976848	4/5/2006	Station	Aboveground	22_06_2017	27	63
SL342391	New York	28th St.	40.747215	-73.993365	1	Station	Underground	23_06_2017	28	76
SL342386	New York	33rd St.	40.746081	-73.982076	6	Station	Underground	23_06_2017	28	76
SL342388	New York	39th St. Herald Sq.	40.750373	-73.991057	1/2/2003	Interchange	Underground	23_06_2017	28	76
SL342385	New York	51st St.	40.762456	-73.985984	C/E	Interchange	Underground	23_06_2017	28	76
SL342380	New York	57th St.	40.764664	-73.980658	N/Q/R	Interchange	Underground	23_06_2017	28	84
SL342382	New York	59th St.	40.762526	-73.967967	N/Q/R	Interchange	Underground	23_06_2017	28	76
SL342379	New York	68th St.	40.768141	-73.96387	6	Station	Underground	23_06_2017	27	77
SL342381	New York	77th St.	40.77362	-73.959874	6	Station	Underground	23_06_2017	28	76
SL342389	New York	86th St.	40.779492	-73.955589	4/5/2006	Interchange	Underground	23_06_2017	28	76
SL342390	New York	Canal St.	40.720824	-74.005229	A/C/E	Interchange	Underground	23_06_2017	28	76
SL335678	Oslo	Carl Berners plass	59.92566	10.77959	Line05	Interchange	Underground	23_06_2017	18	51
SL335747	Denver	Denver Airport (DIA)	39.8501278	-104.6739062	A line	Interchange	Aboveground	23_06_2017	15	77
SL335748	Denver	Denver Airport (DIA)	39.8501278	-104.6739062	A line	Interchange	Aboveground	23_06_2017	15	77
SL335684	Oslo	Ellingsrudåsen	59.93651	10.91664	Line02	Station	Underground	23_06_2017	18	51
SL335689	Oslo	Forskningsparken	59.9437	10.72088	Line04	Interchange	Aboveground	23_06_2017	17	66
SL342383	New York	Grand Central 42nd St.	40.751776	-73.976848	4/5/2007	Station	Aboveground	23_06_2017	28	76
SL335679	Oslo	Grønland	59.91278	10.76009	Line01	Interchange	Underground	23_06_2017	17	66
SL335686	Oslo	Helsfyr	59.91259	10.80139	Line01	Interchange	Underground	23_06_2017	18	51
SL335680	Oslo	Jernbanetorget	59.91226	10.75027	Line01	Interchange	Underground	23_06_2017	17	66
SL335685	Oslo	Lindeberg	59.93276	10.88167	Line02	Station	Underground	23_06_2017	18	51
SL335691	Oslo	Løren	59.9301	10.78959	Line04	Station	Underground	23_06_2017	17	66
SL335688	Oslo	Majorstua	59.93016	10.71473	Line01	Interchange	Aboveground	23_06_2017	17	66
SL335683	Oslo	Montebello	59.93482	10.6664	Line03	Station	Aboveground	23_06_2017	17	66
