Contig	ARG
1915	Yes
1916	Yes
1917	Yes
1919	Yes
1921	Yes
1922	Yes
1924	Yes
1925	Yes
1928	Yes
1929	Yes
1930	Yes
1931	Yes
1934	Yes
1936	Yes
1937	Yes
1940	Yes
1949	Yes
1951	Yes
1953	Yes
1954	Yes
1955	Yes
1958	Yes
1960	Yes
1961	Yes
1962	Yes
1963	Yes
1964	Yes
1966	Yes
1968	Yes
1969	Yes
1970	Yes
1973	Yes
1976	Yes
1977	Yes
1978	Yes
1982	Yes
1983	Yes
1986	Yes
1989	Yes
1993	Yes
1994	Yes
1996	Yes
1997	Yes
1998	Yes
2000	Yes
2001	Yes
2002	Yes
2004	Yes
2009	Yes
2014	Yes
2016	Yes
2017	Yes
2018	Yes
2019	Yes
2020	Yes
2021	Yes
2024	Yes
2027	Yes
2028	Yes
2029	Yes
2030	Yes
2031	Yes
2032	Yes
2034	Yes
2039	Yes
2040	Yes
2041	Yes
2043	Yes
2044	Yes
2046	Yes
2049	Yes
2050	Yes
2051	Yes
2052	Yes
2054	Yes
2055	Yes
2059	Yes
2061	Yes
2062	Yes
2067	Yes
2069	Yes
2072	Yes
2075	Yes
2077	Yes
2078	Yes
2079	Yes
2082	Yes
2083	Yes
2086	Yes
2087	Yes
2091	Yes
2092	Yes
2095	Yes
2096	Yes
2100	Yes
2102	Yes
2104	Yes
2106	Yes
2107	Yes
2108	Yes
2111	Yes
2114	Yes
2115	Yes
2117	Yes
2118	Yes
2120	Yes
2121	Yes
2122	Yes
2124	Yes
2125	Yes
2127	Yes
2132	Yes
2133	Yes
2134	Yes
2135	Yes
2137	Yes
2138	Yes
2142	Yes
2143	Yes
2144	Yes
2151	Yes
2154	Yes
2157	Yes
2158	Yes
2161	Yes
2162	Yes
2163	Yes
2165	Yes
2166	Yes
2169	Yes
2175	Yes
2176	Yes
2178	Yes
2181	Yes
2182	Yes
2184	Yes
2186	Yes
2187	Yes
2190	Yes
2194	Yes
2197	Yes
2198	Yes
2199	Yes
2203	Yes
2204	Yes
2205	Yes
2206	Yes
2209	Yes
2210	Yes
2211	Yes
2212	Yes
2213	Yes
2220	Yes
2225	Yes
2227	Yes
2231	Yes
2236	Yes
2238	Yes
2239	Yes
2242	Yes
2244	Yes
2250	Yes
2251	Yes
2252	Yes
2253	Yes
2254	Yes
2257	Yes
2258	Yes
2259	Yes
2261	Yes
2262	Yes
2263	Yes
2266	Yes
2267	Yes
2269	Yes
2271	Yes
2273	Yes
2274	Yes
2277	Yes
2278	Yes
2280	Yes
2281	Yes
2282	Yes
2285	Yes
2287	Yes
2290	Yes
2293	Yes
2294	Yes
2296	Yes
2297	Yes
2301	Yes
2304	Yes
2305	Yes
2307	Yes
2309	Yes
2311	Yes
2312	Yes
2313	Yes
2314	Yes
2316	Yes
2317	Yes
2318	Yes
2320	Yes
2321	Yes
2323	Yes
2326	Yes
2329	Yes
2330	Yes
2331	Yes
2332	Yes
2333	Yes
2335	Yes
2338	Yes
2341	Yes
2342	Yes
2343	Yes
2344	Yes
2346	Yes
2349	Yes
2350	Yes
2351	Yes
2352	Yes
2356	Yes
2358	Yes
2364	Yes
2365	Yes
2367	Yes
2369	Yes
2370	Yes
2372	Yes
2373	Yes
2375	Yes
2376	Yes
2378	Yes
2379	Yes
2381	Yes
2384	Yes
2385	Yes
2386	Yes
2387	Yes
2389	Yes
2390	Yes
2393	Yes
2397	Yes
2399	Yes
2400	Yes
2402	Yes
2403	Yes
2406	Yes
2407	Yes
2409	Yes
2410	Yes
2411	Yes
2416	Yes
2417	Yes
2418	Yes
2423	Yes
2425	Yes
2433	Yes
2435	Yes
2436	Yes
2439	Yes
2441	Yes
2445	Yes
2448	Yes
2449	Yes
2452	Yes
2453	Yes
2456	Yes
2458	Yes
2459	Yes
2462	Yes
2463	Yes
2468	Yes
2471	Yes
2472	Yes
2473	Yes
2474	Yes
2476	Yes
2478	Yes
2479	Yes
2480	Yes
2482	Yes
2484	Yes
2486	Yes
2487	Yes
2490	Yes
2495	Yes
2502	Yes
2503	Yes
2504	Yes
2505	Yes
2506	Yes
2507	Yes
2508	Yes
2511	Yes
2513	Yes
2517	Yes
2518	Yes
2519	Yes
2522	Yes
2524	Yes
2531	Yes
